GPS_Speed,Absolute_Throttle_Position_B,Average_trip_speed(moving only),Engine_Load(%),Engine_Load(Absolute)(%),Engine_RPM,Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Relative Throttle Position(%),Speed(mph),Throttle Position(Manifold)(%),Torque(Nm),Normal Driving
23.581062,16.07843208,32.1400032,70.58823395,58.03921509,1600,2.16900134,0.03615002,12.54901981,52.19517899,16.47058868,-,1
23.845396,15.29411793,32.24782944,69.01960754,54.11764526,1487.5,1.91794932,0.03196583,10.98039246,52.19517899,16.47058868,-,1
24.028297,13.33333397,32.41734695,40.39215851,53.33333206,1400,0.95364648,0.01589411,10.1960783,53.43792343,11.37254906,125.2644577,1
23.573853,14.90196133,32.57431412,70.58823395,56.47058868,1500,1.96138155,0.03268969,10.98039246,52.19517899,14.90196133,-,1
23.794724,14.90196133,32.72881317,70.19608307,54.90196228,1525,2.0038414,0.03339736,10.98039246,52.19517899,15.29411793,-,1
23.331676,4.70588255,32.88412857,15.68627453,14.90196037,1325,0,0,1.17647064,50.95243835,4.70588255,-,1
21.946115,4.31372547,32.97130585,16.86274529,13.33333302,1250,0,0,1.17647064,48.46695328,4.70588255,-,1
20.914318,9.4117651,33.07803345,18.8235302,35.29411697,1187.5,0,0,7.05882359,45.9814682,4.70588255,-,1
19.605143,4.70588255,33.13450241,20.3921566,14.90196037,1112.5,0,0,1.17647064,42.25324249,4.70588255,-,1
18.503868,4.31372547,33.19762421,21.17647171,16.47058868,1100,0,0,1.17647064,39.76775742,4.70588255,-,1
15.561758,4.31372547,33.21825027,15.68627453,14.11764717,1400,0,0,1.17647064,32.31130219,4.70588255,-,1
12.421869,4.70588255,33.18651581,16.07843208,12.54901981,1287.5,0,0,1.17647064,24.85484695,5.09803915,-,1
7.0296936,4.31372547,33.09033585,21.96078491,14.11764717,987.5,0.44691065,0.00744851,1.17647064,13.67016602,4.31372547,-,1
5.915216,5.49019623,32.98804092,32.15686417,18.8235302,1337.5,1.07476473,0.01791275,1.96078432,12.42742348,4.70588255,-,1
7.469235,10.58823586,32.84870529,55.68627548,40,1362.5,1.4917109,0.02486185,6.66666698,16.15565109,10.98039246,25.43704033,1
9.598062,10.98039246,32.74474716,61.17647171,46.27450943,1375,1.51713121,0.02528552,7.84313726,21.12662125,11.37254906,77.31084442,1
11.141439,10.98039246,32.67539978,52.15686417,44.70588303,1250,1.20845568,0.02014093,7.45098066,24.85484695,10.98039246,45.85989761,1
11.749895,4.70588255,32.6249733,21.96078491,29.01960754,1100,0,0,1.17647064,24.85484695,4.70588255,63.07292557,1
11.06377,4.31372547,32.58779907,20.7843132,15.68627453,1112.5,0,0,1.17647064,23.61210442,4.70588255,63.07292557,1
9.912323,4.70588255,32.51793289,22.35294151,16.47058868,1075,0,0,1.17647064,21.12662125,4.70588255,-,1
7.9403253,4.70588255,32.45526123,22.35294151,16.47058868,1050,0.51185924,0.00853099,1.17647064,14.91290855,4.70588255,-,1
4.9648676,4.70588255,32.31422043,23.92156982,17.25490189,1037.5,0.47499204,0.00791653,1.17647064,9.94193935,4.70588255,-,1
3.8301997,4.70588255,32.14907837,23.92156982,17.25490189,1037.5,0.43146154,0.00719103,1.17647064,7.45645428,4.70588255,-,1
2.638034,4.70588255,32.02872849,28.23529434,18.03921509,775,0.43109232,0.00718487,1.17647064,3.72822714,4.70588255,-,1
0,4.70588255,31.95746613,35.29411697,25.09803963,725,0.41691971,0.00694866,1.17647064,0,4.70588255,-,1
0,4.31372547,31.95746613,34.90196228,24.31372643,700,0,0,1.17647064,0,4.31372547,-,1
